Quote,Clear
"Ничто так не способствует успокоению ума,  как устойчивая цель
",ничто так не способствует успокоению ума как устойчивая цель
"Никогда не тратьте впустую время на что-то важное,  когда за окном закат,  под которым вам следовало бы сидеть! 
",никогда не тратьте впустую время на что-то важное когда за окном закат под которым вам следовало бы сидеть
""" Иногда потеря домашнего животного более болезненна,  чем потеря человека,  потому что в случае с домашним животным вы не притворялись,  что любите его"" . 
",иногда потеря домашнего животного более болезненна чем потеря человека потому что в случае с домашним животным вы не притворялись что любите его
""" То,  что лежит позади вас и что лежит перед вами,  меркнет по сравнению с тем,  что находится внутри вас"" . 
",то что лежит позади вас и что лежит перед вами меркнет по сравнению с тем что находится внутри вас
"Прелесть сотрудничества между старшим и младшим поколениями в том,  что мы сочетаем силу с мудростью —  верный способ достичь большего во славу Божью. 
",прелесть сотрудничества между старшим и младшим поколениями в том что мы сочетаем силу с мудростью верный способ достичь большего во славу божью
""" Автор - либо практикующий отшельник,  либо преступник,  страдающий чувством вины,  либо и то,  и другое.  Обычно и то,  и другое"" . 
",автор либо практикующий отшельник либо преступник страдающий чувством вины либо и то и другое обычно и то и другое
""" Задавайте вопросы по ответам,  я повторял их на каждом занятии.  Пересматривайте свои выводы,  когда доказательства изменятся"" . 
",задавайте вопросы по ответам я повторял их на каждом занятии пересматривайте свои выводы когда доказательства изменятся
"Было бы неправильно отказываться признать тот факт,  что в основе своей все больное и печальное. 
",было бы неправильно отказываться признать тот факт что в основе своей все больное и печальное
"Природа никогда не предавала сердце,  которое любило ее. 
",природа никогда не предавала сердце которое любило ее
""" Духовная боль - это когда ты не можешь вынести ни минуты,  не зная настоящей правды,  и когда ты,  наконец,  понимаешь,  что не можешь отпустить"" . 
",духовная боль это когда ты не можешь вынести ни минуты не зная настоящей правды и когда ты наконец понимаешь что не можешь отпустить
"Репутация - это то,  что другие люди знают о тебе.  Честь - это то,  что ты знаешь о себе. 
",репутация это то что другие люди знают о тебе честь это то что ты знаешь о себе
""" Писатель - это тот,  кто передает идеи и эмоции,  которые люди хотят донести,  но не совсем уверены,  как и следует ли им их передавать"" . 
",писатель это тот кто передает идеи и эмоции которые люди хотят донести но не совсем уверены как и следует ли им их передавать
""" Когда было темно,  ты всегда держал солнце в своей руке для меня"" . 
",когда было темно ты всегда держал солнце в своей руке для меня
"Когда начинается старость,  старость захватывает центральное место,  когда среди мертвых больше людей,  которых мы любим,  чем среди живых. 
",когда начинается старость старость захватывает центральное место когда среди мертвых больше людей которых мы любим чем среди живых
""" Берпутар менджади сесуату ян букан кита,  деми биса менджади дири кита лаги"" . 
",берпутар менджади сесуату ян букан кита деми биса менджади дири кита лаги
