Quote,Clear
""" Обычно,  когда люди говорят о теории "" просачивания"" ,  это имеет отношение к экономике.  Предполагается,  что чем богаче становятся люди на вершине общества,  тем больше богатства может просачиваться к людям внизу.  Конечно,  на самом деле так никогда не получается,  потому что если есть две вещи,  которые люди наверху терпеть не могут,  то это утечка и переполнение"" . 
",обычно когда люди говорят о теории просачивания это имеет отношение к экономике предполагается что чем богаче становятся люди на вершине общества тем больше богатства может просачиваться к людям внизу конечно на самом деле так никогда не получается потому что если есть две вещи которые люди наверху терпеть не могут то это утечка и переполнение
"Ничто так не способствует успокоению ума,  как устойчивая цель
",ничто так не способствует успокоению ума как устойчивая цель
"Никогда не тратьте впустую время на что-то важное,  когда за окном закат,  под которым вам следовало бы сидеть! 
",никогда не тратьте впустую время на что-то важное когда за окном закат под которым вам следовало бы сидеть
""" Что делает телевидение,  и есть причина,  по которой "" Щ. И. Т. ""  работает так хорошо,  как оно работает,  так это то,  что оно имеет дело с отношениями.  Оно имеет дело с очень мелкими,  межличностными способами,  которыми люди одновременно любят и ненавидят друг друга"" . 
",что делает телевидение и есть причина по которой щ и т работает так хорошо как оно работает так это то что оно имеет дело с отношениями оно имеет дело с очень мелкими межличностными способами которыми люди одновременно любят и ненавидят друг друга
""" Иногда потеря домашнего животного более болезненна,  чем потеря человека,  потому что в случае с домашним животным вы не притворялись,  что любите его"" . 
",иногда потеря домашнего животного более болезненна чем потеря человека потому что в случае с домашним животным вы не притворялись что любите его
""" То,  что лежит позади вас и что лежит перед вами,  меркнет по сравнению с тем,  что находится внутри вас"" . 
",то что лежит позади вас и что лежит перед вами меркнет по сравнению с тем что находится внутри вас
""" мы невольно проецируем на Бога наше собственное отношение и чувства по отношению к самим себе. . .  Но мы не можем предполагать,  что Он относится к нам так же,  как мы относимся к самим себе,  если только мы не любим себя сострадательно,  сильно и свободно"" . 
",мы невольно проецируем на бога наше собственное отношение и чувства по отношению к самим себе но мы не можем предполагать что он относится к нам так же как мы относимся к самим себе если только мы не любим себя сострадательно сильно и свободно
"Я знаю,  что был большим другом Тайгера Вудса.  Но когда у вас отношения,  связанные с бизнесом и дружбой,  и деловая часть подходит к концу,  все всегда становится немного размытым. 
",я знаю что был большим другом тайгера вудса но когда у вас отношения связанные с бизнесом и дружбой и деловая часть подходит к концу все всегда становится немного размытым
"Прелесть сотрудничества между старшим и младшим поколениями в том,  что мы сочетаем силу с мудростью —  верный способ достичь большего во славу Божью. 
",прелесть сотрудничества между старшим и младшим поколениями в том что мы сочетаем силу с мудростью верный способ достичь большего во славу божью
"Я действительно изучал искусство парикмахера,  потому что хотел выяснить,  каким будет мой распорядок дня.  Вы начинаете спереди или сзади?  Сверху или снизу?  Поворачиваете кресло или ходите по кругу?  Что я обнаружил,  так это то,  что идеальной стрижки не существует! 
",я действительно изучал искусство парикмахера потому что хотел выяснить каким будет мой распорядок дня вы начинаете спереди или сзади сверху или снизу поворачиваете кресло или ходите по кругу что я обнаружил так это то что идеальной стрижки не существует
""" Автор - либо практикующий отшельник,  либо преступник,  страдающий чувством вины,  либо и то,  и другое.  Обычно и то,  и другое"" . 
",автор либо практикующий отшельник либо преступник страдающий чувством вины либо и то и другое обычно и то и другое
""" Задавайте вопросы по ответам,  я повторял их на каждом занятии.  Пересматривайте свои выводы,  когда доказательства изменятся"" . 
",задавайте вопросы по ответам я повторял их на каждом занятии пересматривайте свои выводы когда доказательства изменятся
"Было бы неправильно отказываться признать тот факт,  что в основе своей все больное и печальное. 
",было бы неправильно отказываться признать тот факт что в основе своей все больное и печальное
"Природа никогда не предавала сердце,  которое любило ее. 
",природа никогда не предавала сердце которое любило ее
""" Духовная боль - это когда ты не можешь вынести ни минуты,  не зная настоящей правды,  и когда ты,  наконец,  понимаешь,  что не можешь отпустить"" . 
",духовная боль это когда ты не можешь вынести ни минуты не зная настоящей правды и когда ты наконец понимаешь что не можешь отпустить
"Репутация - это то,  что другие люди знают о тебе.  Честь - это то,  что ты знаешь о себе. 
",репутация это то что другие люди знают о тебе честь это то что ты знаешь о себе
""" Каждый день мы должны слышать хотя бы одну маленькую песенку,  читать одно хорошее стихотворение,  видеть одну изысканную картину и,  если возможно,  произносить несколько разумных слов"" . 
",каждый день мы должны слышать хотя бы одну маленькую песенку читать одно хорошее стихотворение видеть одну изысканную картину и если возможно произносить несколько разумных слов
""" Если ты не можешь совершать великие дела,  - говорила мать Тереза,  - делай маленькие дела с большой любовью.  Если ты не можешь делать их с большой любовью,  делай их с небольшой любовью.  Если ты не можешь делать их с небольшой любовью,  делай их в любом случае. Любовь растет,  когда люди служат"" . 
",если ты не можешь совершать великие дела говорила мать тереза делай маленькие дела с большой любовью если ты не можешь делать их с большой любовью делай их с небольшой любовью если ты не можешь делать их с небольшой любовью делай их в любом случае любовь растет когда люди служат
""" Писатель - это тот,  кто передает идеи и эмоции,  которые люди хотят донести,  но не совсем уверены,  как и следует ли им их передавать"" . 
",писатель это тот кто передает идеи и эмоции которые люди хотят донести но не совсем уверены как и следует ли им их передавать
""" Когда было темно,  ты всегда держал солнце в своей руке для меня"" . 
",когда было темно ты всегда держал солнце в своей руке для меня
"Когда начинается старость,  старость захватывает центральное место,  когда среди мертвых больше людей,  которых мы любим,  чем среди живых. 
",когда начинается старость старость захватывает центральное место когда среди мертвых больше людей которых мы любим чем среди живых
"Пришло время просмотреть драгоценные книги,  которые значили для вас больше всего,  чтобы вы могли заново открыть для себя озаряющие фразы и предложения,  которые осветят ваш путь в будущее. . . 
",пришло время просмотреть драгоценные книги которые значили для вас больше всего чтобы вы могли заново открыть для себя озаряющие фразы и предложения которые осветят ваш путь в будущее
""" Берпутар менджади сесуату ян букан кита,  деми биса менджади дири кита лаги"" . 
",берпутар менджади сесуату ян букан кита деми биса менджади дири кита лаги
""" А книги,  они дают одну надежду - что между обложками может открыться целая вселенная,  и,  попав в эту вселенную,  человек спасен"" . 
",а книги они дают одну надежду что между обложками может открыться целая вселенная и попав в эту вселенную человек спасен
""" Кто сказал,  что жизнь справедлива,  где это написано? "" 
",кто сказал что жизнь справедлива где это написано
""" Куда бы вы ни пошли,  никогда не забывайте быть вестником и причиной счастья"" . 
",куда бы вы ни пошли никогда не забывайте быть вестником и причиной счастья
"Старайтесь быть похожими на черепаху - чувствовать себя непринужденно в своем собственном панцире. 
",старайтесь быть похожими на черепаху чувствовать себя непринужденно в своем собственном панцире
""" Ваша личная жизнь,  ваша профессиональная жизнь и ваша творческая жизнь тесно переплетены.  Я пережил несколько очень трудных лет,  когда чувствовал себя неудачником.  Но на самом деле для меня было действительно важно пройти через это.  Борьба,  для меня,  в конце концов,  самая вдохновляющая вещь в мире - до тех пор,  пока вы относитесь к ней таким образом"" . 
",ваша личная жизнь ваша профессиональная жизнь и ваша творческая жизнь тесно переплетены я пережил несколько очень трудных лет когда чувствовал себя неудачником но на самом деле для меня было действительно важно пройти через это борьба для меня в конце концов самая вдохновляющая вещь в мире до тех пор пока вы относитесь к ней таким образом
"Высшая форма уважения - это искренне демонстрировать свое присутствие. 
",высшая форма уважения это искренне демонстрировать свое присутствие
""" Мы все время целуемся"" . "" Я прочищаю горло,  затем добавляю:  "" "" Мы just. . . do это наедине"" . "" "" "" Самодовольное выражение появляется на его лице.  "" "" Я ни на секунду на это не куплюсь,  потому что,  если бы ты была моей девушкой и в твоем доме жил такой парень,  как я,  я бы целовал тебя на глазах у парня при каждом удобном случае в качестве напоминания"" . "" "" "" Напоминание о ч-ч-чем? "" "" "" "" Что ты была моей"" . 
",мы все время целуемся я прочищаю горло затем добавляю мы это наедине самодовольное выражение появляется на его лице я ни на секунду на это не куплюсь потому что если бы ты была моей девушкой и в твоем доме жил такой парень как я я бы целовал тебя на глазах у парня при каждом удобном случае в качестве напоминания напоминание о ч-ч-чем что ты была моей
"Что горячо [ 10 Вт]  +  { Куплет}  Мы неправильно предполагаем,  что то,  что горячо,  становится тем,  чем мы не являемся. 
",что горячо 10 вт куплет мы неправильно предполагаем что то что горячо становится тем чем мы не являемся
""" Вечность - это действительно долгий срок,  понимаешь?  Что ты делаешь с вечностью? "" "" "" "" То же самое,  что ты делаешь,  когда у тебя нет вечности. "" "" Он слабо улыбнулся.  "" "" Живи"" . 
",вечность это действительно долгий срок понимаешь что ты делаешь с вечностью то же самое что ты делаешь когда у тебя нет вечности он слабо улыбнулся живи
""" Везде,  где собирается много людей,  происходит общение.  Мое любимое место для общения - кладбище"" . 
",везде где собирается много людей происходит общение мое любимое место для общения кладбище
""" Должно быть,  это утешительно - иметь такую веру.  Верить настолько конкретно,  что есть кто— то —  что-то - там,  снаружи,  наблюдающее,  оберегающее нас,  испытывающее нас только тем,  с чем мы можем справиться"" . 
",должно быть это утешительно иметь такую веру верить настолько конкретно что есть кто то что-то там снаружи наблюдающее оберегающее нас испытывающее нас только тем с чем мы можем справиться
"Не все можно почувствовать и не все когда-либо будет понято. 
",не все можно почувствовать и не все когда-либо будет понято
""" Когда я открываю их,  большинство книг источают запах более раннего времени,  просачивающийся между страницами - особый запах знаний и эмоций,  которые веками спокойно покоились между обложками.  Вдыхая его,  я просматриваю несколько страниц,  прежде чем вернуть каждую книгу на полку"" . 
",когда я открываю их большинство книг источают запах более раннего времени просачивающийся между страницами особый запах знаний и эмоций которые веками спокойно покоились между обложками вдыхая его я просматриваю несколько страниц прежде чем вернуть каждую книгу на полку
"Враги моих врагов,  которые знали,  что враги моих врагов были хорошими танцорами. 
",враги моих врагов которые знали что враги моих врагов были хорошими танцорами
""" Выяснить,  к чему ты способен,  и обеспечить себе возможность сделать это - ключ к счастью"" . 
",выяснить к чему ты способен и обеспечить себе возможность сделать это ключ к счастью
"Я готовлю.  Мое любимое занятие - это любовь. 
",я готовлю мое любимое занятие это любовь
""" Просто жить недостаточно"" ,  - сказала бабочка,  - "" у человека должны быть солнечный свет,  свобода и маленький цветок"" . 
",просто жить недостаточно сказала бабочка у человека должны быть солнечный свет свобода и маленький цветок
"Собаки отдали нам абсолютно все.  Мы - центр их вселенной.  Мы - средоточие их любви,  веры и доверия.  Они служат нам в обмен на объедки.  Это,  без сомнения,  лучшая сделка,  которую когда-либо заключал человек. 
",собаки отдали нам абсолютно все мы центр их вселенной мы средоточие их любви веры и доверия они служат нам в обмен на объедки это без сомнения лучшая сделка которую когда-либо заключал человек
""" Говорят,  то,  что не убивает душу,  сделает тебя сильнее,  но ты не можешь быть человеком с каменным сердцем"" . 
",говорят то что не убивает душу сделает тебя сильнее но ты не можешь быть человеком с каменным сердцем
""" С идеей,  как с призраком,  нужно немного поговорить,  прежде чем она объяснит сама себя"" . 
",с идеей как с призраком нужно немного поговорить прежде чем она объяснит сама себя
